Sample_ID,Project_ID,Group,Country,environmental_material,Region,Continent,Instrument,Sequencing_Center
ERR3209806,PRJEB31632,Hosp_env,Singapore,Bedside_locker,Novena,Asia,Illumina_HiSeq_2000,GIS
ERR3209807,PRJEB31632,Hosp_env,Singapore,Bedside_locker,Novena,Asia,Illumina_HiSeq_2000,GIS
ERR3209808,PRJEB31632,Hosp_env,Singapore,Bedside_locker,Novena,Asia,Illumina_HiSeq_2000,GIS
ERR3209809,PRJEB31632,Hosp_env,Singapore,Bedrail,Novena,Asia,Illumina_HiSeq_2000,GIS
ERR3209810,PRJEB31632,Hosp_env,Singapore,Bedrail,Novena,Asia,Illumina_HiSeq_2000,GIS
ERR3209811,PRJEB31632,Hosp_env,Singapore,Bedrail,Novena,Asia,Illumina_HiSeq_2000,GIS
ERR3209812,PRJEB31632,Hosp_env,Singapore,Bedrail,Novena,Asia,Illumina_HiSeq_2000,GIS
ERR3209813,PRJEB31632,Hosp_env,Singapore,Cardiac_table,Novena,Asia,Illumina_HiSeq_2000,GIS
ERR3209814,PRJEB31632,Hosp_env,Singapore,Cardiac_table,Novena,Asia,Illumina_HiSeq_2000,GIS
ERR3209815,PRJEB31632,Hosp_env,Singapore,Bedside_locker,Novena,Asia,Illumina_HiSeq_2000,GIS
ERR3209816,PRJEB31632,Hosp_env,Singapore,Bedside_locker,Novena,Asia,Illumina_HiSeq_2000,GIS
ERR3209817,PRJEB31632,Hosp_env,Singapore,Bedside_locker,Novena,Asia,Illumina_HiSeq_2000,GIS
ERR3569137,PRJEB34690,Hosp_sewage,South Africa,Wastewater,Pretoria,Africa,HiSeq_X_Ten,TUT
ERR3569138,PRJEB34690,Hosp_sewage,South Africa,Wastewater,Pretoria,Africa,HiSeq_X_Ten,TUT
ERR3569139,PRJEB34690,Hosp_sewage,South Africa,Wastewater,Pretoria,Africa,HiSeq_X_Ten,TUT
ERR3569140,PRJEB34690,Hosp_sewage,South Africa,Wastewater,Pretoria,Africa,HiSeq_X_Ten,TUT
ERR3569141,PRJEB34690,Hosp_sewage,South Africa,Wastewater,Pretoria,Africa,HiSeq_X_Ten,TUT
ERR3569142,PRJEB34690,Hosp_sewage,South Africa,Wastewater,Pretoria,Africa,HiSeq_X_Ten,TUT
ERR3569143,PRJEB34690,Hosp_sewage,South Africa,Wastewater,Pretoria,Africa,HiSeq_X_Ten,TUT
ERR3569144,PRJEB34690,Hosp_sewage,South Africa,Wastewater,Pretoria,Africa,HiSeq_X_Ten,TUT
ERR3569145,PRJEB34690,Hosp_sewage,South Africa,Wastewater,Pretoria,Africa,HiSeq_X_Ten,TUT
ERR3569146,PRJEB34690,Hosp_sewage,South Africa,Wastewater,Pretoria,Africa,HiSeq_X_Ten,TUT
ERR3569147,PRJEB34690,Hosp_sewage,South Africa,Wastewater,Pretoria,Africa,HiSeq_X_Ten,TUT
ERR3569148,PRJEB34690,Hosp_sewage,South Africa,Wastewater,Pretoria,Africa,HiSeq_X_Ten,TUT
ERR3569149,PRJEB34690,Hosp_sewage,South Africa,Wastewater,Pretoria,Africa,HiSeq_X_Ten,TUT
ERR3569150,PRJEB34690,Hosp_sewage,South Africa,Wastewater,Pretoria,Africa,HiSeq_X_Ten,TUT
ERR3569151,PRJEB34690,Hosp_sewage,South Africa,Wastewater,Pretoria,Africa,HiSeq_X_Ten,TUT
ERR3569152,PRJEB34690,Hosp_sewage,South Africa,Wastewater,Pretoria,Africa,HiSeq_X_Ten,TUT
ERR3569153,PRJEB34690,Hosp_sewage,South Africa,Wastewater,Pretoria,Africa,HiSeq_X_Ten,TUT
ERR3569154,PRJEB34690,Hosp_sewage,South Africa,Wastewater,Pretoria,Africa,HiSeq_X_Ten,TUT
ERR3675726,PRJEB31632,Hosp_env,Singapore,Sink_trap,Novena,Asia,Illumina_HiSeq_4000,GIS
ERR3675731,PRJEB31632,Hosp_env,Singapore,Sink_trap,Novena,Asia,Illumina_HiSeq_4000,GIS
ERR3675733,PRJEB31632,Hosp_env,Singapore,Sink_trap,Novena,Asia,Illumina_HiSeq_4000,GIS
ERR3675737,PRJEB31632,Hosp_env,Singapore,Sink_trap,Novena,Asia,Illumina_HiSeq_4000,GIS
ERR3675744,PRJEB31632,Hosp_env,Singapore,Pulse_oxymeter,Novena,Asia,Illumina_HiSeq_4000,GIS
ERR3675745,PRJEB31632,Hosp_env,Singapore,Sink_trap,Novena,Asia,Illumina_HiSeq_4000,GIS
ERR3675750,PRJEB31632,Hosp_env,Singapore,Pulse_oxymeter,Novena,Asia,Illumina_HiSeq_4000,GIS
ERR3675751,PRJEB31632,Hosp_env,Singapore,Sink_trap,Novena,Asia,Illumina_HiSeq_4000,GIS
ERR3675756,PRJEB31632,Hosp_env,Singapore,Pulse_oxymeter,Novena,Asia,Illumina_HiSeq_4000,GIS
ERR3675757,PRJEB31632,Hosp_env,Singapore,Sink_trap,Novena,Asia,Illumina_HiSeq_4000,GIS
ERR3675771,PRJEB31632,Hosp_env,Singapore,Sink_trap,Novena,Asia,Illumina_HiSeq_4000,GIS
ERR3675783,PRJEB31632,Hosp_env,Singapore,Sink_trap,Novena,Asia,Illumina_HiSeq_4000,GIS
ERR3675785,PRJEB31632,Hosp_env,Singapore,Sink_trap,Novena,Asia,Illumina_HiSeq_4000,GIS
ERR3675787,PRJEB31632,Hosp_env,Singapore,Sink_trap,Novena,Asia,Illumina_HiSeq_4000,GIS
ERR3675792,PRJEB31632,Hosp_env,Singapore,Pulse_oxymeter,Novena,Asia,Illumina_HiSeq_4000,GIS
ERR3675793,PRJEB31632,Hosp_env,Singapore,Sink_trap,Novena,Asia,Illumina HiSeq 4001,GIS
ERR3675795,PRJEB31632,Hosp_env,Singapore,Sink_trap,Novena,Asia,Illumina_HiSeq_4000,GIS
ERR3775118,PRJEB35979,Hosp_env,China,Built-in_air_conditioner,Shenzhen,Asia,HiSeq_X_Ten,XYLAB
ERR3775119,PRJEB35979,Hosp_env,China,Built-in_air_conditioner,Shenzhen,Asia,HiSeq_X_Ten,XYLAB
ERR3775120,PRJEB35979,Hosp_env,China,Built-in_air_conditioner,Shenzhen,Asia,HiSeq_X_Ten,XYLAB
ERR3928854,PRJEB36775,Hosp_sewage,United Kingdom,Sink_drain,United Kingdom,Europe,Illumina_HiSeq_4000,MMM
ERR3928886,PRJEB36775,Hosp_sewage,United Kingdom,Sink_drain,United Kingdom,Europe,Illumina_HiSeq_4000,MMM
ERR3928887,PRJEB36775,Hosp_sewage,United Kingdom,Sink_drain,United Kingdom,Europe,Illumina_HiSeq_4000,MMM
ERR3928888,PRJEB36775,Hosp_sewage,United Kingdom,Sink_drain,United Kingdom,Europe,Illumina_HiSeq_4000,MMM
ERR3928889,PRJEB36775,Hosp_sewage,United Kingdom,Sink_drain,United Kingdom,Europe,Illumina_HiSeq_4000,MMM
ERR3928891,PRJEB36775,Hosp_sewage,United Kingdom,Sink_drain,United Kingdom,Europe,Illumina_HiSeq_4000,MMM
ERR3928893,PRJEB36775,Hosp_sewage,United Kingdom,Sink_drain,United Kingdom,Europe,Illumina_HiSeq_4000,MMM
ERR3928894,PRJEB36775,Hosp_sewage,United Kingdom,Sink_drain,United Kingdom,Europe,Illumina_HiSeq_4000,MMM
ERR3928895,PRJEB36775,Hosp_sewage,United Kingdom,Sink_drain,United Kingdom,Europe,Illumina_HiSeq_4000,MMM
ERR3928896,PRJEB36775,Hosp_sewage,United Kingdom,Sink_drain,United Kingdom,Europe,Illumina_HiSeq_4000,MMM
ERR3928899,PRJEB36775,Hosp_sewage,United Kingdom,Sink_drain,United Kingdom,Europe,Illumina_HiSeq_4000,MMM
ERR3928901,PRJEB36775,Hosp_sewage,United Kingdom,Sink_drain,United Kingdom,Europe,Illumina_HiSeq_4000,MMM
ERR3928902,PRJEB36775,Hosp_sewage,United Kingdom,Sink_drain,United Kingdom,Europe,Illumina_HiSeq_4000,MMM
ERR3928903,PRJEB36775,Hosp_sewage,United Kingdom,Sink_drain,United Kingdom,Europe,Illumina_HiSeq_4000,MMM
ERR3928924,PRJEB36775,Hosp_sewage,United Kingdom,Sink_drain,United Kingdom,Europe,Illumina_HiSeq_4000,MMM
ERR3928927,PRJEB36775,Hosp_sewage,United Kingdom,Sink_drain,United Kingdom,Europe,Illumina_HiSeq_4000,MMM
ERR7015311,PRJEB47975,Hosp_sewage,Benin,Septic_tank,Abomey-calavi,Africa,Illumina_NovaSeq_6000,UH
ERR7015312,PRJEB47975,Hosp_sewage,Benin,Septic_tank,Abomey-calavi,Africa,Illumina_NovaSeq_6000,UH
ERR7015313,PRJEB47975,Hosp_sewage,Benin,Septic_tank,Abomey-calavi,Africa,Illumina_NovaSeq_6000,UH
ERR7015315,PRJEB47975,Hosp_sewage,Benin,Septic_tank,Abomey-calavi,Africa,Illumina_NovaSeq_6000,UH
ERR7015316,PRJEB47975,Hosp_sewage,Benin,Septic_tank,Abomey-calavi,Africa,Illumina_NovaSeq_6000,UH
ERR7015317,PRJEB47975,Hosp_sewage,Benin,Septic_tank,Abomey-calavi,Africa,Illumina_NovaSeq_6000,UH
ERR7015318,PRJEB47975,Hosp_sewage,Benin,Septic_tank,Abomey-calavi,Africa,Illumina_NovaSeq_6000,UH
ERR7015320,PRJEB47975,Hosp_sewage,Benin,Septic_tank,Abomey-calavi,Africa,Illumina_NovaSeq_6000,UH
ERR7015321,PRJEB47975,Hosp_sewage,Benin,Septic_tank,Abomey-calavi,Africa,Illumina_NovaSeq_6000,UH
ERR7015327,PRJEB47975,Hosp_sewage,Benin,Septic_tank,Abomey-calavi,Africa,Illumina_NovaSeq_6000,UH
ERR7015328,PRJEB47975,Hosp_sewage,Benin,Septic_tank,Abomey-calavi,Africa,Illumina_NovaSeq_6000,UH
ERR7015330,PRJEB47975,Hosp_sewage,Benin,Septic_tank,Abomey-calavi,Africa,Illumina_NovaSeq_6000,UH
ERR7015332,PRJEB47975,Hosp_sewage,Benin,Septic_tank,Abomey-calavi,Africa,Illumina_NovaSeq_6000,UH
ERR7015333,PRJEB47975,Hosp_sewage,Benin,Septic_tank,Abomey-calavi,Africa,Illumina_NovaSeq_6000,UH
ERR7015334,PRJEB47975,Hosp_sewage,Benin,Septic_tank,Abomey-calavi,Africa,Illumina_NovaSeq_6000,UH
ERR7015335,PRJEB47975,Hosp_sewage,Benin,Septic_tank,Abomey-calavi,Africa,Illumina_NovaSeq_6000,UH
ERR7015336,PRJEB47975,Hosp_sewage,Benin,Septic_tank,Abomey-calavi,Africa,Illumina_NovaSeq_6000,UH
ERR7015337,PRJEB47975,Hosp_sewage,Benin,Septic_tank,Abomey-calavi,Africa,Illumina_NovaSeq_6000,UH
ERR7015338,PRJEB47975,Hosp_sewage,Benin,Septic_tank,Abomey-calavi,Africa,Illumina_NovaSeq_6000,UH
ERR7015339,PRJEB47975,Hosp_sewage,Benin,Septic_tank,Abomey-calavi,Africa,Illumina_NovaSeq_6000,UH
ERR7015342,PRJEB47975,Hosp_sewage,Benin,Septic_tank,Abomey-calavi,Africa,Illumina_NovaSeq_6000,UH
ERR7015343,PRJEB47975,Hosp_sewage,Benin,Septic_tank,Abomey-calavi,Africa,Illumina_NovaSeq_6000,UH
ERR7015345,PRJEB47975,Hosp_sewage,Benin,Septic_tank,Abomey-calavi,Africa,Illumina_NovaSeq_6000,UH
ERR7015346,PRJEB47975,Hosp_sewage,Benin,Septic_tank,Abomey-calavi,Africa,Illumina_NovaSeq_6000,UH
ERR7015347,PRJEB47975,Hosp_sewage,Benin,Septic_tank,Abomey-calavi,Africa,Illumina_NovaSeq_6000,UH
ERR7015348,PRJEB47975,Hosp_sewage,Benin,Septic_tank,Abomey-calavi,Africa,Illumina_NovaSeq_6000,UH
ERR7015350,PRJEB47975,Hosp_sewage,Benin,Septic_tank,Abomey-calavi,Africa,Illumina_NovaSeq_6000,UH
ERR7015351,PRJEB47975,Hosp_sewage,Benin,Septic_tank,Abomey-calavi,Africa,Illumina_NovaSeq_6000,UH
ERR7015353,PRJEB47975,Hosp_sewage,Benin,River,Abomey-calavi,Africa,Illumina_NovaSeq_6000,UH
ERR7015354,PRJEB47975,Hosp_sewage,Benin,River,Abomey-calavi,Africa,Illumina_NovaSeq_6000,UH
ERR7015355,PRJEB47975,Hosp_sewage,Benin,River,Abomey-calavi,Africa,Illumina_NovaSeq_6000,UH
ERR7015357,PRJEB47975,Hosp_sewage,Burkina Faso,Septic_tank,Ouagadougou,Africa,Illumina_NovaSeq_6000,UH
ERR7015358,PRJEB47975,Hosp_sewage,Burkina Faso,Septic_tank,Ouagadougou,Africa,Illumina_NovaSeq_6000,UH
ERR7015359,PRJEB47975,Hosp_sewage,Burkina Faso,Septic_tank,Ouagadougou,Africa,Illumina_NovaSeq_6000,UH
ERR7015360,PRJEB47975,Hosp_sewage,Burkina Faso,Septic_tank,Ouagadougou,Africa,Illumina_NovaSeq_6000,UH
ERR7015361,PRJEB47975,Hosp_sewage,Burkina Faso,Septic_tank,Ouagadougou,Africa,Illumina_NovaSeq_6000,UH
ERR7015362,PRJEB47975,Hosp_sewage,Burkina Faso,Septic_tank,Ouagadougou,Africa,Illumina_NovaSeq_6000,UH
ERR7015363,PRJEB47975,Hosp_sewage,Burkina Faso,Septic_tank,Ouagadougou,Africa,Illumina_NovaSeq_6000,UH
ERR7015364,PRJEB47975,Hosp_sewage,Burkina Faso,Septic_tank,Ouagadougou,Africa,Illumina_NovaSeq_6000,UH
ERR7015365,PRJEB47975,Hosp_sewage,Burkina Faso,Septic_tank,Ouagadougou,Africa,Illumina_NovaSeq_6000,UH
ERR7015366,PRJEB47975,Hosp_sewage,Burkina Faso,Septic_tank,Ouagadougou,Africa,Illumina_NovaSeq_6000,UH
ERR7015367,PRJEB47975,Hosp_sewage,Burkina Faso,Septic_tank,Ouagadougou,Africa,Illumina_NovaSeq_6000,UH
ERR7015368,PRJEB47975,Hosp_sewage,Burkina Faso,Septic_tank,Ouagadougou,Africa,Illumina_NovaSeq_6000,UH
ERR7015369,PRJEB47975,Hosp_sewage,Burkina Faso,Septic_tank,Ouagadougou,Africa,Illumina_NovaSeq_6000,UH
ERR7015370,PRJEB47975,Hosp_sewage,Burkina Faso,Septic_tank,Ouagadougou,Africa,Illumina_NovaSeq_6000,UH
ERR7015371,PRJEB47975,Hosp_sewage,Burkina Faso,Septic_tank,Ouagadougou,Africa,Illumina_NovaSeq_6000,UH
ERR7015372,PRJEB47975,Hosp_sewage,Burkina Faso,Septic_tank,Ouagadougou,Africa,Illumina_NovaSeq_6000,UH
ERR7015373,PRJEB47975,Hosp_sewage,Burkina Faso,Septic_tank,Ouagadougou,Africa,Illumina_NovaSeq_6000,UH
ERR7015374,PRJEB47975,Hosp_sewage,Burkina Faso,Septic_tank,Ouagadougou,Africa,Illumina_NovaSeq_6000,UH
